date,AAPL,AMD,AMZN,AVGO,BA,BAC,CAT,COST,CVX,DE,DIS,EEM,EFA,F,GLD,GM,GOOGL,GS,HD,HYG,IEF,INTC,IWD,IWF,IWM,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LQD,MA,META,MSFT,MTUM,NEE,NKE,NVDA,PEP,PFE,PG,QQQ,QUAL,SBUX,SPY,T,TLT,TSLA,UNH,USMV,USO,UUP,V,VNQ,VZ,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XOM
2019-12-16,128186000,58824900,62904000,37921000,16488200,50777100,2414800,2410000,5619300,1408700,9134400,81828000,34004700,42337600,4646100,11233700,28128000,3218400,5850300,17517400,3028500,19131200,3007200,9107600,20115300,5353100,11372000,4744400,9538100,1797200,3468400,847500,8062600,4210700,14911500,24144200,461200,14284800,8211300,320976000,4701000,24187824,8281900,21296600,690900,6705600,82749700,31833064,9156600,272613000,4663600,2324300,801663,814400,8249900,5185200,11493000,17986000,5780800,22271800,45914900,8046500,19744600,10004600,5093900,41547800,7730300,7293600,15208700
2019-12-17,114158400,44852000,72888000,20248000,13526400,50840500,2850800,2474100,6755500,1247000,8776100,79046200,28111100,35503900,4287500,8869800,32948000,3590000,7574400,18650700,3471400,21653100,1681200,5142400,12980000,10722400,11546800,6137700,9230000,1433000,6718800,730000,10886800,3354500,10175700,25425600,698100,10374000,7050700,321196000,5491800,29038016,8832200,15996100,1117800,7296900,61097700,45994833,6179700,127452000,4409100,2699300,1494075,199300,10208700,9649900,13648700,10051600,3222500,46292400,30911900,5949600,14919400,8005500,4452000,33694600,4643600,6819000,14450700
2019-12-18,116028400,39083300,67028000,35155000,7029300,48757900,2629500,3309800,7496700,2209000,9467800,67065000,18590900,45905300,3607600,12651000,23330000,2280800,6677400,31575700,2249500,28261000,1397500,3877200,15379300,7849200,10381500,6317600,15132100,1427300,8173000,1526000,10205500,2902700,23274400,24129200,275400,8585600,7332000,343548000,5370500,27339390,8607600,15443300,647200,5859200,48133000,37645954,6244700,211815000,3621600,2919100,1483338,237900,8968500,6340700,17292600,7347400,1862800,25881400,39079700,6679300,12970200,5464100,3504100,25615800,5202900,5278200,13652300
2019-12-19,98369200,45883000,53056000,31787000,5492600,45409500,3576800,2333600,6220300,1249000,10243900,59364600,25939200,42236000,4975000,10774000,28922000,2418100,5405000,29429300,1962500,18865100,1545700,6320800,11919800,9414700,9350400,7941000,13385900,1205200,4423400,766300,9307000,2536900,16514600,24958900,415200,6882800,12214500,445360000,3641700,22022276,6629100,17865900,829100,6022100,85310500,33199697,6591100,271606500,2905900,2677000,959575,427300,5854200,6117400,11901600,6191200,1873000,25534800,36946900,5744000,13724000,9068100,3334500,33803200,6637200,6493000,13273200
2019-12-20,275978000,68104700,103016000,50540000,9489400,109395500,6805400,4866500,12171100,2593600,12629900,69295600,38587700,50191200,4463900,13976100,50090000,3715500,7778200,31918800,4660500,49953000,3442400,6144400,25449500,14532800,29992600,12601700,23832800,3034100,9229900,1599600,8336900,5099400,27306900,53477500,390600,16198000,17641600,603044000,10311300,58199772,16250500,27672600,1828300,14271500,147142100,64039497,5455700,221290500,6608300,6206200,1429338,686800,11259500,9514600,42977900,8337800,3109700,34839600,97416000,8913300,23400800,15270600,3691800,45942200,8586500,6673600,35092000
2019-12-23,98572000,55886500,42728000,20254000,9534800,33995400,2346500,1309800,5875000,1005700,9314000,29479500,21313800,54784400,5180900,8754500,19936000,1670400,3943700,9720200,1809400,23593000,3229700,7598400,13372100,6558700,9738400,6822800,9300800,967400,2473400,1050400,3827500,3590500,13348900,17718200,635900,9474800,6350500,355060000,2992900,17454345,6619500,23774700,1238000,4349700,52990000,38581095,5175000,199794000,2098900,3101100,931600,826000,5831700,5369100,9477500,6288000,3248600,26944400,38293100,5675700,15530400,6006500,3000600,32956000,4770900,6328400,14172500
2019-12-24,48478800,44432200,17626000,7024000,4120100,13805400,966200,543600,1640100,332300,3508500,18951500,5947000,11881600,5303700,2924200,13468000,467700,2260700,4854900,857600,6313200,702800,3750800,4334500,4238900,3324300,1594400,3359300,399900,1215800,516300,2638000,641100,6046300,8989200,235100,2739600,3328100,138864000,1220600,5187683,2022100,7089000,380000,1847800,20270000,11515093,4667400,120820500,714000,1350300,431738,274200,2420900,1962000,6640100,2901400,891200,10074800,12315900,4451600,4890800,1700100,1120200,9025600,2071800,3296200,3979400
2019-12-26,93121200,57562800,120108000,15848000,4593400,26992100,1576900,1101800,3648600,518100,4422000,24947900,8372000,28961300,8342500,5439700,23662000,1704000,2649200,11382700,1285100,11480300,935600,5943600,9371200,3019300,6770900,3957800,6228500,481000,1272000,711600,3879900,1369200,9350700,14520600,246000,5813200,3709900,182852000,2934700,9384078,4760400,17067500,428800,4177700,30911200,26239032,5290200,159508500,1050600,1682200,881688,235100,5237000,2243900,8117800,5604800,830200,20312400,15891300,3914200,8269200,8638600,1607200,13317000,2910100,5035800,8840200
2019-12-27,146266000,36581300,123732000,14487000,4124000,28111300,1544500,1439100,4138300,719500,5495300,48407900,16281600,28272800,5119900,5753500,23212000,1343900,3082800,11627100,1771100,14085800,855400,7342000,12261800,3432700,7868200,4089700,6895500,825500,2161300,728800,8752100,2042600,10284200,18412800,245300,4319200,5307500,254644000,2554000,10117662,5192000,18134100,490900,4129300,42528800,20430247,7300500,149185500,1547100,2402700,1137988,573300,5448600,4195900,8166800,13605400,3205000,21436600,19417400,5300700,19332200,10314100,1828500,20603400,3605000,5917400,10516100
2019-12-30,144114400,41149700,73494000,13104000,4525500,30705100,1789200,1238900,4580200,953000,6602800,44522800,24069000,36074900,4810600,5353900,19994000,1494500,3952400,12524300,2035400,12750500,1699900,5666800,14912700,2923300,6963000,3856500,6431700,807500,1856200,776900,9993800,2717600,10524300,16348400,258800,4450000,3495200,258056000,3024700,11554264,3884300,21815500,718100,4655600,49729100,23389652,7979700,188796000,1511700,3958800,1121463,527600,4833600,3466500,6765400,6015400,2141300,29259000,18819300,7716400,16491200,6238600,2638400,23868600,5665100,6677400,12689400
